phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
ISV,1,"While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectLiteral', 'IncorrectAssociative']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Options:
1) He wants his wife to iron his shirt.
2) He got this shirt on sale.
3) He is unhappy that his shirt is wrinkled.
4) He got his shoes on sale.
Answer: ",3,3,True,"{'1': 0.0001033753848605837, '2': 1.8288004347045944e-07, '3': 0.9998964237907629, '4': 1.7944332850278776e-08}",0.0001033753848605837,3,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,2,"Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","[2, 3, 4, 1]","['CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative', 'IncorrectLiteral']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Options:
1) He does not want Cindy to start painting. 
2) He wants Cindy to paint a picture for the meeting.
3) He wants Cindy to create a sculpture.
4) He has some doubts whether Cindy should be painting.
Answer: ",3,4,True,"{'1': 1.40712557858388e-07, '2': 1.5754294443090578e-09, '3': 3.524511434046421e-09, '4': 0.9999998541875011}",1.40712557858388e-07,4,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,3,"Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","[4, 1, 2, 3]","['IncorrectAssociative', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
Options:
1) Cindy forgot to invite her brother to the movies.
2) Cindy's brother creates a lot of mess.
3) Cindy might help her clean up the house.
4) Cindy forgot to purchase a new toy for her brother.
Answer: ",3,2,True,"{'1': 4.1549172555656e-06, '2': 0.9999944191146771, '3': 6.052265104153594e-07, '4': 8.207415569631253e-07}",6.052265104153594e-07,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,4,"Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","[3, 4, 1, 2]","['IncorrectLexicalOverlap', 'IncorrectAssociative', 'IncorrectLiteral', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?
Options:
1) She wishes to have a date with Matt.
2) She wishes to build a kite with Matt.
3) She wonders whether Matt knows something else interesting that he can share with her.
4) She wishes that he stopped telling her about the movie.
Answer: ",3,4,True,"{'1': 5.226430034180774e-07, '2': 1.3355062338663365e-07, '3': 0.001509110037934441, '4': 0.9984902337684387}",0.9984902337684387,4,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,5,"He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?","[1, 3, 2, 4]","['IncorrectLiteral', 'IncorrectLexicalOverlap', 'CorrectNonLiteral', 'IncorrectAssociative']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?
Options:
1) His friends are very friendly.
2) Cindy should meet Matt's other friends.
3) Cindy should stop teasing him if she wants to be his friend.
4) Cindy should meet a new principal.  
Answer: ",3,3,True,"{'1': 3.8127435299048944e-06, '2': 5.841661596703584e-06, '3': 0.999990329399892, '4': 1.6194981373854632e-08}",0.999990329399892,3,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,6,"Dan said: ""Everybody's being wild."" What might he be trying to convey?","[3, 1, 4, 2]","['IncorrectLexicalOverlap', 'IncorrectLiteral', 'IncorrectAssociative', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Dan said: ""Everybody's being wild."" What might he be trying to convey?
Options:
1) He likes to live in the wilderness.
2) All of the boys were not very cautious.
3) He likes to live in the city. 
4) It was not his fault.
Answer: ",3,2,True,"{'1': 6.555682213410993e-08, '2': 0.9999994960989477, '3': 3.500288918628682e-07, '4': 8.83153384639475e-08}",8.83153384639475e-08,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,7,"He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?","[3, 4, 1, 2]","['IncorrectLexicalOverlap', 'IncorrectAssociative', 'IncorrectLiteral', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?
Options:
1) He wants to learn how to make these cookies.
2) He wants to learn how to make a roast beef.
3) She is a great baker who makes good cookies.
4) He wants Kate to give him some cookies.
Answer: ",3,3,True,"{'1': 0.05427222994246032, '2': 1.376206704536145e-05, '3': 0.9429472210760462, '4': 0.0027667869144480345}",0.0027667869144480345,3,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,8,"The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?","[2, 1, 3, 4]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?
Options:
1) She wants him to stop talking.
2) Matt is unfair to the teacher.
3) She wants kids to work on a project about fairness.
4) She wants kids to work on a project about dinosaurs.
Answer: ",3,2,True,"{'1': 0.0013368145901402877, '2': 0.7694737687889966, '3': 0.22918925690807113, '4': 1.597127918118318e-07}",0.0013368145901402877,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,9,"Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?","[1, 3, 2, 4]","['IncorrectLiteral', 'IncorrectLexicalOverlap', 'CorrectNonLiteral', 'IncorrectAssociative']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?
Options:
1) He is too tired and the girls are making a lot of noise.
2) He wants the girls to listen to some music.
3) He wants the girls to be quiet.
4) He wants the girls to go shopping.
Answer: ",3,3,True,"{'1': 0.0019200737204663292, '2': 2.9639751261620764e-07, '3': 0.9980796158614792, '4': 1.4020541761234367e-08}",0.9980796158614792,3,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,10,"Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?","[3, 1, 2, 4]","['IncorrectLexicalOverlap', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociative']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?
Options:
1) Matt should buy new shoes.
2) Walking on shattered glass is something that Matt enjoys.
3) Matt should look around where he is walking. 
4) Matt should get a new pet.
Answer: ",3,2,True,"{'1': 1.711908081741806e-05, '2': 0.999977234154882, '3': 5.188423769704021e-06, '4': 4.583405308995954e-07}",5.188423769704021e-06,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,11,"Richard points at a building and asks his wife: ""Can you see that house number?"" What might he be trying to convey?","[4, 2, 1, 3]","['IncorrectAssociative', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectLexicalOverlap']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Richard points at a building and asks his wife: ""Can you see that house number?"" What might he be trying to convey?
Options:
1) He wants her to see a dentist.
2) He wants her to tell him the house number.
3) He wants to know how good her vision is.
4) He wants her to see an eye doctor.
Answer: ",3,3,True,"{'1': 1.2879155777811555e-07, '2': 1.7531601461847847e-08, '3': 0.9999997723922994, '4': 8.128454141038728e-08}",1.7531601461847847e-08,3,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,12,"Juan's wife is leaving the house and says to him, ""Can you water the lawn?'' What might he be trying to convey?","[1, 2, 4, 3]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociative', 'IncorrectLexicalOverlap']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Juan's wife is leaving the house and says to him, ""Can you water the lawn?'' What might he be trying to convey?
Options:
1) She wants to know whether he is allowed to water the lawn.
2) She wants to know whether he has time and a desire to water the lawn. 
3) She wants to know whether he won the golf tournament.
4) She wants to know whether he will water the plants in the office.
Answer: ",3,2,True,"{'1': 0.0008585599540129763, '2': 0.999141161149178, '3': 1.3649092105965278e-07, '4': 1.424058882681251e-07}",0.999141161149178,2,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,13,"He calls out to his brother: ""Can you move the ladder?"" What might he be trying to convey?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectAssociative', 'IncorrectLexicalOverlap', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He calls out to his brother: ""Can you move the ladder?"" What might he be trying to convey?
Options:
1) He wants to know whether his brother is strong enough to move the ladder.
2) He wants him to bring tires from the truck.
3) He wants him to bring brushes from the truck.
4) He wants him to move the ladder.
Answer: ",3,1,True,"{'1': 0.8748349392383695, '2': 1.8608082477517638e-06, '3': 2.5388672764920624e-06, '4': 0.12516066108610618}",0.12516066108610618,1,False,IncorrectLiteral,tk-instruct-11b-def-pos
ISV,14,"One day he comes to the basketball court and asks the players there: ""Do you think I can play basketball with you?"" What might he be trying to convey?","[3, 2, 4, 1]","['IncorrectLexicalOverlap', 'CorrectNonLiteral', 'IncorrectAssociative', 'IncorrectLiteral']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: One day he comes to the basketball court and asks the players there: ""Do you think I can play basketball with you?"" What might he be trying to convey?
Options:
1) He wants to get a new uniform.
2) He wants to join their game.
3) He wants to get good grades on his math test.
4) He wants to know their opinion.
Answer: ",3,2,True,"{'1': 2.717977700303917e-06, '2': 0.9999941609637225, '3': 3.067079382910685e-07, '4': 2.8143506388626395e-06}",0.9999941609637225,2,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,15,"Jane's mother says: ""Someone is at the door"". What might she be trying to convey?","[4, 1, 3, 2]","['IncorrectAssociative', 'IncorrectLiteral', 'IncorrectLexicalOverlap', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane's mother says: ""Someone is at the door"". What might she be trying to convey?
Options:
1) She wants Jane to help her with painting the house.
2) She suspects that someone is standing at their door.
3) She wants Jane to help her with cooking.
4) She wants Jane to open the door.
Answer: ",3,4,True,"{'1': 4.114927432461965e-06, '2': 0.0003178832775488647, '3': 1.2073510256453783e-06, '4': 0.9996767944439929}",0.9996767944439929,4,True,CorrectNonLiteral,tk-instruct-11b-def-pos
ISV,16,"Bill says, ""I am getting cold."" What might he be trying to convey?","[2, 3, 4, 1]","['CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative', 'IncorrectLiteral']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectLexicalOverlap', 'IncorrectAssociative']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Bill says, ""I am getting cold."" What might he be trying to convey?
Options:
1) He wants Adam to close the window.
2) He wants Adam to get back to the project.
3) He wants Adam to invite Julie to the movies.
4) He wants to describe his physical state to Adam.
Answer: ",3,1,True,"{'1': 0.995406532988707, '2': 6.192628219558035e-06, '3': 3.3781304930046357e-06, '4': 0.004583896252580388}",0.995406532988707,1,True,CorrectNonLiteral,tk-instruct-11b-def-pos
