"","pKey","itemNum","Correct","Task","OptionChosen"
"1",100,9,1,"DV","Answer3"
"2",100,16,1,"DV","Answer3"
"3",100,14,1,"DV","Answer3"
"4",100,17,0,"DV","Answer2"
"5",100,13,1,"DV","Answer3"
"6",100,2,1,"DV","Answer3"
"7",100,19,1,"DV","Answer3"
"8",100,5,1,"DV","Answer3"
"9",100,11,1,"DV","Answer3"
"10",100,15,1,"DV","Answer3"
"11",100,6,1,"DV","Answer3"
"12",100,20,1,"DV","Answer3"
"13",100,1,1,"DV","Answer4"
"14",100,10,1,"DV","Answer2"
"15",100,7,1,"DV","Answer2"
"16",100,18,1,"DV","Answer3"
"17",100,3,1,"DV","Answer4"
"18",100,4,1,"DV","Answer2"
"19",100,8,1,"DV","Answer2"
"20",100,12,0,"DV","Answer1"
"21",101,9,1,"DV","Answer3"
"22",101,16,0,"DV","Answer1"
"23",101,14,1,"DV","Answer3"
"24",101,17,1,"DV","Answer3"
"25",101,13,1,"DV","Answer3"
"26",101,2,1,"DV","Answer3"
"27",101,19,1,"DV","Answer3"
"28",101,5,1,"DV","Answer3"
"29",101,11,1,"DV","Answer3"
"30",101,15,1,"DV","Answer3"
"31",101,6,1,"DV","Answer3"
"32",101,20,1,"DV","Answer3"
"33",101,1,1,"DV","Answer4"
"34",101,10,1,"DV","Answer2"
"35",101,7,1,"DV","Answer2"
"36",101,18,1,"DV","Answer3"
"37",101,3,1,"DV","Answer4"
"38",101,4,1,"DV","Answer2"
"39",101,8,1,"DV","Answer2"
"40",101,12,1,"DV","Answer3"
"41",102,9,1,"DV","Answer3"
"42",102,16,1,"DV","Answer3"
"43",102,14,0,"DV","Answer2"
"44",102,17,1,"DV","Answer3"
"45",102,13,0,"DV","Answer2"
"46",102,2,1,"DV","Answer3"
"47",102,19,1,"DV","Answer3"
"48",102,5,1,"DV","Answer3"
"49",102,11,1,"DV","Answer3"
"50",102,15,1,"DV","Answer3"
"51",102,6,1,"DV","Answer3"
"52",102,20,1,"DV","Answer3"
"53",102,1,1,"DV","Answer4"
"54",102,10,1,"DV","Answer2"
"55",102,7,1,"DV","Answer2"
"56",102,18,1,"DV","Answer3"
"57",102,3,1,"DV","Answer4"
"58",102,4,1,"DV","Answer2"
"59",102,8,1,"DV","Answer2"
"60",102,12,1,"DV","Answer3"
"61",106,9,1,"DV","Answer3"
"62",106,16,0,"DV","Answer1"
"63",106,14,1,"DV","Answer3"
"64",106,17,1,"DV","Answer3"
"65",106,13,1,"DV","Answer3"
"66",106,2,0,"DV","Answer1"
"67",106,19,1,"DV","Answer3"
"68",106,5,1,"DV","Answer3"
"69",106,11,1,"DV","Answer3"
"70",106,15,1,"DV","Answer3"
"71",106,6,1,"DV","Answer3"
"72",106,20,1,"DV","Answer3"
"73",106,1,1,"DV","Answer4"
"74",106,10,1,"DV","Answer2"
"75",106,7,1,"DV","Answer2"
"76",106,18,1,"DV","Answer3"
"77",106,3,1,"DV","Answer4"
"78",106,4,1,"DV","Answer2"
"79",106,8,1,"DV","Answer2"
"80",106,12,1,"DV","Answer3"
"81",107,9,1,"DV","Answer3"
"82",107,16,1,"DV","Answer3"
"83",107,14,0,"DV","Answer2"
"84",107,17,1,"DV","Answer3"
"85",107,13,1,"DV","Answer3"
"86",107,2,1,"DV","Answer3"
"87",107,19,0,"DV","Answer2"
"88",107,5,1,"DV","Answer3"
"89",107,11,1,"DV","Answer3"
"90",107,15,0,"DV","Answer1"
"91",107,6,1,"DV","Answer3"
"92",107,20,1,"DV","Answer3"
"93",107,1,1,"DV","Answer4"
"94",107,10,1,"DV","Answer2"
"95",107,7,1,"DV","Answer2"
"96",107,18,1,"DV","Answer3"
"97",107,3,1,"DV","Answer4"
"98",107,4,1,"DV","Answer2"
"99",107,8,1,"DV","Answer2"
"100",107,12,1,"DV","Answer3"
"101",108,9,0,"DV","Answer1"
"102",108,16,0,"DV","Answer1"
"103",108,14,1,"DV","Answer3"
"104",108,17,1,"DV","Answer3"
"105",108,13,0,"DV","Answer4"
"106",108,2,0,"DV","Answer1"
"107",108,19,1,"DV","Answer3"
"108",108,5,1,"DV","Answer3"
"109",108,11,1,"DV","Answer3"
"110",108,15,0,"DV","Answer1"
"111",108,6,0,"DV","Answer1"
"112",108,20,0,"DV","Answer2"
"113",108,1,0,"DV","Answer1"
"114",108,10,1,"DV","Answer2"
"115",108,7,0,"DV","Answer1"
"116",108,18,1,"DV","Answer3"
"117",108,3,1,"DV","Answer4"
"118",108,4,0,"DV","Answer1"
"119",108,8,1,"DV","Answer2"
"120",108,12,0,"DV","Answer1"
"121",110,9,1,"DV","Answer3"
"122",110,16,1,"DV","Answer3"
"123",110,14,1,"DV","Answer3"
"124",110,17,1,"DV","Answer3"
"125",110,13,1,"DV","Answer3"
"126",110,2,1,"DV","Answer3"
"127",110,19,1,"DV","Answer3"
"128",110,5,1,"DV","Answer3"
"129",110,11,1,"DV","Answer3"
"130",110,15,1,"DV","Answer3"
"131",110,6,1,"DV","Answer3"
"132",110,20,1,"DV","Answer3"
"133",110,1,1,"DV","Answer4"
"134",110,10,1,"DV","Answer2"
"135",110,7,1,"DV","Answer2"
"136",110,18,1,"DV","Answer3"
"137",110,3,1,"DV","Answer4"
"138",110,4,1,"DV","Answer2"
"139",110,8,1,"DV","Answer2"
"140",110,12,1,"DV","Answer3"
"141",111,9,1,"DV","Answer3"
"142",111,16,1,"DV","Answer3"
"143",111,14,1,"DV","Answer3"
"144",111,17,1,"DV","Answer3"
"145",111,13,1,"DV","Answer3"
"146",111,2,1,"DV","Answer3"
"147",111,19,1,"DV","Answer3"
"148",111,5,1,"DV","Answer3"
"149",111,11,1,"DV","Answer3"
"150",111,15,1,"DV","Answer3"
"151",111,6,1,"DV","Answer3"
"152",111,20,1,"DV","Answer3"
"153",111,1,1,"DV","Answer4"
"154",111,10,1,"DV","Answer2"
"155",111,7,1,"DV","Answer2"
"156",111,18,1,"DV","Answer3"
"157",111,3,1,"DV","Answer4"
"158",111,4,1,"DV","Answer2"
"159",111,8,1,"DV","Answer2"
"160",111,12,1,"DV","Answer3"
"161",112,9,1,"DV","Answer3"
"162",112,16,0,"DV","Answer1"
"163",112,14,0,"DV","Answer1"
"164",112,17,1,"DV","Answer3"
"165",112,13,0,"DV","Answer2"
"166",112,2,0,"DV","Answer1"
"167",112,19,0,"DV","Answer1"
"168",112,5,1,"DV","Answer3"
"169",112,11,1,"DV","Answer3"
"170",112,15,0,"DV","Answer1"
"171",112,6,0,"DV","Answer4"
"172",112,20,1,"DV","Answer3"
"173",112,1,0,"DV","Answer3"
"174",112,10,0,"DV","Answer1"
"175",112,7,0,"DV","Answer1"
"176",112,18,1,"DV","Answer3"
"177",112,3,1,"DV","Answer4"
"178",112,4,1,"DV","Answer2"
"179",112,8,1,"DV","Answer2"
"180",112,12,0,"DV","Answer1"
"181",115,9,1,"DV","Answer3"
"182",115,16,0,"DV","Answer1"
"183",115,14,1,"DV","Answer3"
"184",115,17,1,"DV","Answer3"
"185",115,13,1,"DV","Answer3"
"186",115,2,1,"DV","Answer3"
"187",115,19,1,"DV","Answer3"
"188",115,5,1,"DV","Answer3"
"189",115,11,1,"DV","Answer3"
"190",115,15,1,"DV","Answer3"
"191",115,6,1,"DV","Answer3"
"192",115,20,1,"DV","Answer3"
"193",115,1,1,"DV","Answer4"
"194",115,10,1,"DV","Answer2"
"195",115,7,1,"DV","Answer2"
"196",115,18,1,"DV","Answer3"
"197",115,3,1,"DV","Answer4"
"198",115,4,1,"DV","Answer2"
"199",115,8,1,"DV","Answer2"
"200",115,12,0,"DV","Answer1"
"201",116,9,1,"DV","Answer3"
"202",116,16,1,"DV","Answer3"
"203",116,14,0,"DV","Answer1"
"204",116,17,1,"DV","Answer3"
"205",116,13,1,"DV","Answer3"
"206",116,2,0,"DV","Answer1"
"207",116,19,0,"DV","Answer1"
"208",116,5,1,"DV","Answer3"
"209",116,11,0,"DV","Answer4"
"210",116,15,1,"DV","Answer3"
"211",116,6,0,"DV","Answer4"
"212",116,20,1,"DV","Answer3"
"213",116,1,1,"DV","Answer4"
"214",116,10,1,"DV","Answer2"
