phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
IV,1,"Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?","[1, 3, 2, 4]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonSequitur']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?
Options:
1) The dress is fitting well.
2) Simon does not like the color of this dress.
3) Lara needs to get a dress of a shorter length.
4) Simon has to get back to work.
Answer: ",2,1,True,"{'1': 0.9934699393339417, '2': 0.0012703870808478592, '3': 0.0036159049271496926, '4': 0.0016437686580606356}",0.0036159049271496926,1,False,IncorrectLiteral,flan-t5-xl
IV,2,"Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","[3, 4, 2, 1]","['IncorrectAssociate', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectLiteral']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
Options:
1) Shane's hearing improved greatly.
2) Shane needs to see an eye doctor.
3) Shane was not paying attention when Christian was talking.
4) Shane was paying attention when Christian was talking.
Answer: ",2,4,True,"{'1': 0.08027647269164596, '2': 0.006068394938538499, '3': 0.013527467629828751, '4': 0.9001276647399867}",0.013527467629828751,4,False,IncorrectLiteral,flan-t5-xl
IV,3,"Andrew says, ""You are so good at this."" What did Andrew want to convey?","[3, 1, 2, 4]","['IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Andrew says, ""You are so good at this."" What did Andrew want to convey?
Options:
1) Phil's blocking is impressive.
2) Phil is a great basketball player.
3) Phil's basketball skills could be better.
4) Phil is a great student.
Answer: ",2,2,True,"{'1': 0.3473570674525287, '2': 0.4169059014096218, '3': 0.017352703997924344, '4': 0.21838432713992514}",0.017352703997924344,2,False,IncorrectLiteral,flan-t5-xl
IV,4,"Jon says, ""You are so graceful."" What did Jon want to convey?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectLiteral', 'IncorrectNonSequitur']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jon says, ""You are so graceful."" What did Jon want to convey?
Options:
1) Patrick is careless.
2) Patrick is allergic to noodles.
3) Patrick is very cautious.
4) Patrick pays a lot of attention to fashion.
Answer: ",2,4,True,"{'1': 0.02067442907419494, '2': 0.005349801804552448, '3': 0.05080513606084913, '4': 0.9231706330604035}",0.02067442907419494,4,False,IncorrectNonSequitur,flan-t5-xl
IV,5,"She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?","[3, 4, 2, 1]","['IncorrectAssociate', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectLiteral']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?
Options:
1) Tom forgot his sunscreen.
2) Tom forgot his passport.
3) Tom's idea to go to the beach was awful.
4) Tom's idea to go to the beach was genius. 
Answer: ",2,4,True,"{'1': 0.1429388889975686, '2': 0.03177795979465616, '3': 0.05600265124084676, '4': 0.7692804999669285}",0.05600265124084676,4,False,IncorrectLiteral,flan-t5-xl
IV,6,"Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectAssociate', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?
Options:
1) He enjoys listening to his kids fighting.
2) He remembers about his wife's birthday.
3) AC gives them some needed cool.
4) He does not want to listen to his kids' arguments.
Answer: ",2,3,True,"{'1': 0.09260931295791497, '2': 0.19553501095675846, '3': 0.6920891864185063, '4': 0.019766489666820306}",0.019766489666820306,3,False,IncorrectAssociate,flan-t5-xl
IV,7,"Jane says, ""What a wonderful game."" What did Jane want to convey?","[3, 2, 1, 4]","['IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane says, ""What a wonderful game."" What did Jane want to convey?
Options:
1) The game ended too late.
2) The game was a disaster.
3) The game was outstanding.
4) The game of chess was over.    
Answer: ",2,3,True,"{'1': 0.005481307446042111, '2': 0.0017247806042117093, '3': 0.9866697573537792, '4': 0.006124154595967032}",0.0017247806042117093,3,False,IncorrectLiteral,flan-t5-xl
IV,8,"His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?","[1, 3, 4, 2]","['IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?
Options:
1) Mark is an exceptional player.
2) Mark forgot to thank his caddy.
3) Mark forgot to thank his dentist.  
4) Mark isn't a good player.
Answer: ",2,1,True,"{'1': 0.9981872891573198, '2': 0.0005247359393706094, '3': 0.0008970729376598157, '4': 0.00039090196564971994}",0.00039090196564971994,1,False,IncorrectLiteral,flan-t5-xl
IV,9,"He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?","[3, 1, 2, 4]","['IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?
Options:
1) Tom cannot find a vacuum.
2) Tom tidied up his room.
3) Tom's room is still messy.
4) Tom cannot find a lawyer. 
Answer: ",2,2,True,"{'1': 0.027144719583907753, '2': 0.9628177434132489, '3': 0.008606831165181204, '4': 0.0014307058376622796}",0.008606831165181204,2,False,IncorrectLiteral,flan-t5-xl
IV,10,"Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?","[1, 4, 2, 3]","['IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectAssociate']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?
Options:
1) He is happy that Callie made it to the party.
2) He is tired and is going to bed.
3) He is annoyed that Callie showed up late.
4) He is hungry and wants to eat Callie's salad.
Answer: ",2,1,True,"{'1': 0.9929645855106023, '2': 0.0023949987777369427, '3': 0.0037476071886233947, '4': 0.0008928085230372533}",0.0037476071886233947,1,False,IncorrectLiteral,flan-t5-xl
