phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
CIV,1,Mary's exam was about to start. Her palms were sweaty. ,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Mary's exam was about to start. Her palms were sweaty. 
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.8774767874818409, '2': 0.12252321251815922}",0.8774767874818409,1,True,Correct,gpt2
CIV,2,Laura got a lot of mail today. Some of her friends had remembered her birthday.,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Laura got a lot of mail today. Some of her friends had remembered her birthday.
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.8902942261220292, '2': 0.10970577387797076}",0.8902942261220292,1,True,Correct,gpt2
CIV,3,Sometimes a truck drives by the house. The dishes start to rattle.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Sometimes a truck drives by the house. The dishes start to rattle.
Options:
1) Incoherent
2) Coherent
Answer: ",1,1,True,"{'1': 0.8962513731336204, '2': 0.10374862686637971}",0.10374862686637971,1,False,IncorrectIncoherent,gpt2
CIV,4,The lights have been on since last night. The car doesn't start.,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: The lights have been on since last night. The car doesn't start.
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.8962513731336204, '2': 0.10374862686637971}",0.8962513731336204,1,True,Correct,gpt2
CIV,5,Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.
Options:
1) Incoherent
2) Coherent
Answer: ",1,1,True,"{'1': 0.8840392817460332, '2': 0.11596071825396675}",0.11596071825396675,1,False,IncorrectIncoherent,gpt2
CIV,6,Bob was looking forward to the long holiday. He turned on the TV for a weather report.,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Bob was looking forward to the long holiday. He turned on the TV for a weather report.
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.9019206765295399, '2': 0.09807932347046004}",0.9019206765295399,1,True,Correct,gpt2
CIV,7,Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.8872045937171068, '2': 0.11279540628289324}",0.8872045937171068,1,True,Correct,gpt2
CIV,8,Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ,"[1, 2]","['Correct', 'IncorrectIncoherent']",1,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 
Options:
1) Coherent
2) Incoherent
Answer: ",1,1,True,"{'1': 0.8918110454379296, '2': 0.10818895456207037}",0.8918110454379296,1,True,Correct,gpt2
CIV,9,A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 
Options:
1) Incoherent
2) Coherent
Answer: ",1,1,True,"{'1': 0.8723473746782093, '2': 0.12765262532179067}",0.12765262532179067,1,False,IncorrectIncoherent,gpt2
CIV,10,Jane skipped her English class every now and then. She began to worry about her final exam.,"[2, 1]","['IncorrectIncoherent', 'Correct']",2,"['Correct', 'IncorrectIncoherent']",False,"Task: You will read pairs of sentences. Reach each pair and decide whether they form a coherent story. The answer options are 1 or 2.

Scenario: Jane skipped her English class every now and then. She began to worry about her final exam.
Options:
1) Incoherent
2) Coherent
Answer: ",1,1,True,"{'1': 0.8872045937171068, '2': 0.11279540628289322}",0.11279540628289322,1,False,IncorrectIncoherent,gpt2
