phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
HV,1,"A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","[3, 5, 4, 1, 2]","['AssociativeNonSequitur', 'FunnyNonSequitur', 'NeutralNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward']",4,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Punchlines:
1) The man says, ""My seeing eye dog is 10 years old.""
2) Then the blind man throws a pie in the woman's face.
3) The man says, ""I really enjoy going to the symphony.""
4) The man says, ""Where should I put these blinds, lady?""
5) The man says, ""Can you spare a little change for a blind man?""
Answer: ",0,4,True,"{'1': 0.002495530632263933, '2': 0.03252965662708715, '3': 0.0009787981718640437, '4': 0.9331279548003334, '5': 0.030868059768451504}",0.9331279548003334,4,True,CorrectNonLiteral,text-davinci-002
HV,2,"The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","[5, 2, 3, 1, 4]","['FunnyNonSequitur', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'CorrectNonLiteral', 'NeutralNonSequitur']",4,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Punchlines:
1) ""OOPS!"" as the rake he stepped on barely missed his face.
2) ""Oh well, can I borrow it when you're done then?""
3) ""The birds are always eating my grass seed.""
4) ""Fine, then you won't need your golf clubs. I'll just borrow them.""
5) ""According to the weather report, it will rain tomorrow.""
Answer: ",0,2,True,"{'1': 0.00036197267858350835, '2': 0.9569324114063444, '3': 0.008314533074509162, '4': 0.033626742443792663, '5': 0.0007643403967701665}",0.033626742443792663,2,False,IncorrectStraightforward,text-davinci-002
HV,3,"A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:","[1, 3, 4, 5, 2]","['CorrectNonLiteral', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur', 'IncorrectStraightforward']",1,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:
Punchlines:
1) ""Medical science has progressed enormously since then.""
2) ""I can't cure everything you know.""
3) ""Is it raining outside?""
4) ""Ouch, I got ants in my pants.""
5) ""You must do as you are told.""
Answer: ",0,1,True,"{'1': 0.7933289196452856, '2': 0.08266684993992242, '3': 0.12008075496747594, '4': 0.0012806492482218047, '5': 0.002642826199094272}",0.7933289196452856,1,True,CorrectNonLiteral,text-davinci-002
HV,4,"Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. ","[4, 3, 1, 2, 5]","['NeutralNonSequitur', 'AssociativeNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward', 'FunnyNonSequitur']",3,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. 
Punchlines:
1) Martha said, ""My leg is hurting so much.""
2) Martha said, ""You make the most delicious sweet rolls in town.""
3) Martha said, ""Four pieces, please; I'm on a diet.""
4) Martha said: ""Well, there are five people for dessert tonight, so eight pieces will be about right.""
5) Then the attendant squirted whipped cream in Martha's face.
Answer: ",0,4,True,"{'1': 0.00013191054680675352, '2': 9.479218955002133e-05, '3': 0.035667640108100855, '4': 0.9585775761603156, '5': 0.005528080995226774}",0.035667640108100855,4,False,IncorrectStraightforward,text-davinci-002
HV,5,"A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:","[5, 3, 2, 4, 1]","['FunnyNonSequitur', 'AssociativeNonSequitur', 'IncorrectStraightforward', 'NeutralNonSequitur', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:
Punchlines:
1) ""There is a mouse in your office!"" he said, and jumped on the doctor's lap.
2) ""There are a number of frames I can choose from.""
3) ""I am not sure that glasses will help me see well!""
4) ""I'm spending my vacation in the Bahamas this year.""
5) ""Nice! I have never been able to read before.""
Answer: ",0,5,True,"{'1': 0.049582768954724944, '2': 0.3359298549930473, '3': 0.04839855574350486, '4': 0.039396432765848435, '5': 0.5266923875428745}",0.5266923875428745,5,True,CorrectNonLiteral,text-davinci-002
HV,6,"At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:","[5, 1, 4, 3, 2]","['FunnyNonSequitur', 'CorrectNonLiteral', 'NeutralNonSequitur', 'AssociativeNonSequitur', 'IncorrectStraightforward']",2,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:
Punchlines:
1) ""Sorry,"" she said, as she stumbled and poured her drink on her friend's lap.
2) ""Yes I am. I married the wrong man.""
3) ""I love this kind of weather.""
4) ""Don't you love cocktail parties?""
5) ""It is perfectly fine where it is.""
Answer: ",0,2,True,"{'1': 3.5200606917820696e-05, '2': 0.9995446701687845, '3': 0.00023685859664314494, '4': 0.0001758276624053619, '5': 7.4429652491694805e-06}",0.9995446701687845,2,True,CorrectNonLiteral,text-davinci-002
HV,7,"Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... ","[3, 5, 4, 1, 2]","['AssociativeNonSequitur', 'FunnyNonSequitur', 'NeutralNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward']",4,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... 
Punchlines:
1) ""I like to eat a lot.""
2) ""That man is going to slip on this banana peel.""
3) ""I am going to be out of town for a while.""
4) ""I took one bite and went blind.""
5) ""It tastes horrible.""
Answer: ",0,2,True,"{'1': 0.0015183759299380317, '2': 0.8188906975274131, '3': 0.05511889043392701, '4': 0.12123869598650351, '5': 0.0032333401222184393}",0.12123869598650351,2,False,FunnyNonSequitur,text-davinci-002
HV,8,"A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""","[4, 3, 1, 2, 5]","['NeutralNonSequitur', 'AssociativeNonSequitur', 'CorrectNonLiteral', 'IncorrectStraightforward', 'FunnyNonSequitur']",3,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""
Punchlines:
1) The tenant replied, ""I really like to read Shakespeare.""
2) The tenant replied, ""Half the city is under rent control.""
3) The tenant replied, ""Great, I'm ready to forget the other half.""
4) The tenant replied, ""Thank you, I can certainly pay half.""
5) Then the tenant's pants fell down.
Answer: ",0,3,True,"{'1': 0.0003007962284329616, '2': 0.004550004284272147, '3': 0.9462606168038549, '4': 0.0458230928414477, '5': 0.0030654898419923576}",0.9462606168038549,3,True,CorrectNonLiteral,text-davinci-002
HV,9,"On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,","[5, 4, 3, 2, 1]","['FunnyNonSequitur', 'NeutralNonSequitur', 'AssociativeNonSequitur', 'IncorrectStraightforward', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,
Punchlines:
1) ""There is a mouse!"" and jumps out of the plane without a parachute.
2) ""The Red Sox won yesterday.""
3) ""I used to fly this type of aircraft during the war.""
4) ""Don't worry, you have a second parachute. Everything will be fine.""
5) ""In my opinion, you are jumping to a hasty conclusion.""
Answer: ",0,4,True,"{'1': 0.08123740968855145, '2': 0.004960653824590475, '3': 0.00042170859001229485, '4': 0.9090060151872525, '5': 0.004374212709593304}",0.004374212709593304,4,False,IncorrectStraightforward,text-davinci-002
HV,10,"A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:","[5, 4, 3, 2, 1]","['FunnyNonSequitur', 'NeutralNonSequitur', 'AssociativeNonSequitur', 'IncorrectStraightforward', 'CorrectNonLiteral']",5,"['CorrectNonLiteral', 'IncorrectStraightforward', 'AssociativeNonSequitur', 'NeutralNonSequitur', 'FunnyNonSequitur']",False,"Task: You will read jokes that are missing their punch lines. A punch line is a funny line that finishes the joke. Each joke will be followed by five possible endings. Please choose the ending that makes the joke funny. The answer options are 1, 2, 3, 4, or 5.

Joke: A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:
Punchlines:
1) ""My pleasure,"" he said as he tipped his hat to the girl and his toupee slipped off.
2) ""I hope it's time to eat dinner soon.""
3) ""I usually get seasick on boats.""
4) ""Thank you, I need the money.""
5) ""I don't want the money; all I want to know is who shoved me!""
Answer: ",0,5,True,"{'1': 0.0023185370649390115, '2': 0.0014863841286728817, '3': 0.002880417967795374, '4': 0.2677472159490953, '5': 0.7255674448894974}",0.7255674448894974,5,True,CorrectNonLiteral,text-davinci-002
