phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
IV,1,"Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?","[4, 1, 2, 3]","['IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?
Options:
1) Simon has to get back to work.
2) The dress is fitting well.
3) Lara needs to get a dress of a shorter length.
4) Simon does not like the color of this dress.
Answer: ",3,2,True,"{'1': 4.224255995997452e-06, '2': 0.9999930836835808, '3': 2.6080142848267207e-06, '4': 8.404613844342845e-08}",2.6080142848267207e-06,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,2,"Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectLiteral', 'IncorrectNonSequitur']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
Options:
1) Shane was not paying attention when Christian was talking.
2) Shane's hearing improved greatly.
3) Shane was paying attention when Christian was talking.
4) Shane needs to see an eye doctor.
Answer: ",3,3,True,"{'1': 1.5179397700388683e-07, '2': 6.830576139003678e-07, '3': 0.9999991642560456, '4': 8.92363464636003e-10}",1.5179397700388683e-07,3,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,3,"Andrew says, ""You are so good at this."" What did Andrew want to convey?","[1, 3, 2, 4]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonSequitur']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Andrew says, ""You are so good at this."" What did Andrew want to convey?
Options:
1) Phil is a great basketball player.
2) Phil's blocking is impressive.
3) Phil's basketball skills could be better.
4) Phil is a great student.
Answer: ",3,1,True,"{'1': 0.9960340284919411, '2': 0.003408808147548623, '3': 0.000485984711661167, '4': 7.117864884899892e-05}",0.000485984711661167,1,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,4,"Jon says, ""You are so graceful."" What did Jon want to convey?","[4, 3, 1, 2]","['IncorrectNonSequitur', 'IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jon says, ""You are so graceful."" What did Jon want to convey?
Options:
1) Patrick pays a lot of attention to fashion.
2) Patrick is allergic to noodles.
3) Patrick is very cautious.
4) Patrick is careless.
Answer: ",3,1,True,"{'1': 0.9993494166714869, '2': 7.64031330121636e-05, '3': 0.000566847422066063, '4': 7.332773434883946e-06}",7.332773434883946e-06,1,False,IncorrectNonSequitur,tk-instruct-11b-def-pos
IV,5,"She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectAssociate', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?
Options:
1) Tom's idea to go to the beach was genius. 
2) Tom forgot his passport.
3) Tom forgot his sunscreen.
4) Tom's idea to go to the beach was awful.
Answer: ",3,1,True,"{'1': 0.9999993620241288, '2': 1.0621773595285909e-08, '3': 1.1568160647008266e-07, '4': 5.116724911453705e-07}",5.116724911453705e-07,1,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,6,"Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?","[4, 1, 2, 3]","['IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?
Options:
1) He remembers about his wife's birthday.
2) He enjoys listening to his kids fighting.
3) He does not want to listen to his kids' arguments.
4) AC gives them some needed cool.
Answer: ",3,4,True,"{'1': 1.06758406744563e-05, '2': 3.0703580709545676e-06, '3': 0.0001391484844312268, '4': 0.9998471053168233}",0.0001391484844312268,4,False,IncorrectAssociate,tk-instruct-11b-def-pos
IV,7,"Jane says, ""What a wonderful game."" What did Jane want to convey?","[1, 2, 3, 4]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane says, ""What a wonderful game."" What did Jane want to convey?
Options:
1) The game was outstanding.
2) The game was a disaster.
3) The game ended too late.
4) The game of chess was over.    
Answer: ",3,1,True,"{'1': 0.9999999585959375, '2': 3.4154941307352715e-09, '3': 1.937202745624257e-08, '4': 1.8616540854221007e-08}",3.4154941307352715e-09,1,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,8,"His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?","[4, 1, 3, 2]","['IncorrectNonSequitur', 'IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?
Options:
1) Mark forgot to thank his dentist.  
2) Mark is an exceptional player.
3) Mark forgot to thank his caddy.
4) Mark isn't a good player.
Answer: ",3,2,True,"{'1': 1.0897687058211555e-06, '2': 0.9999966978354693, '3': 2.0069238803701255e-06, '4': 2.0547194446452675e-07}",2.0547194446452675e-07,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,9,"He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?","[3, 1, 4, 2]","['IncorrectAssociate', 'IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?
Options:
1) Tom cannot find a vacuum.
2) Tom tidied up his room.
3) Tom cannot find a lawyer. 
4) Tom's room is still messy.
Answer: ",3,2,True,"{'1': 3.420496652020908e-07, '2': 0.9999995882218115, '3': 6.51618967040392e-08, '4': 4.566626568682949e-09}",4.566626568682949e-09,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
IV,10,"Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?","[2, 1, 3, 4]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?
Options:
1) He is annoyed that Callie showed up late.
2) He is happy that Callie made it to the party.
3) He is hungry and wants to eat Callie's salad.
4) He is tired and is going to bed.
Answer: ",3,2,True,"{'1': 1.570268858470499e-06, '2': 0.9999979213676394, '3': 4.447160412802946e-07, '4': 6.364746079219683e-08}",1.570268858470499e-06,2,False,IncorrectLiteral,tk-instruct-11b-def-pos
