phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
MPV,1,"Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","[4, 1, 3, 2, 5]","['IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral']",4,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
Options:
1) Mary found a job at a company installing chimneys.
2) All houses in this town have chimneys.
3) The people living in this town are very welcoming.
4) The town is not one of the cleanest ones.
5) The town is a chimney.
Answer: ",4,5,True,"{'1': 0.002450020632286821, '2': 0.007437409727938048, '3': 0.010010849256706505, '4': 0.06534396366889628, '5': 0.9147577567141725}",0.06534396366889628,5,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,2,"Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","[3, 1, 2, 5, 4]","['IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur']",3,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
Options:
1) Mike is worried that the bird flu virus affected their baby.
2) The baby in his wife's womb is the size of an egg.
3) Mike and his wife are very much in love with each other.
4) Their baby is an egg.
5) Their baby is growing bigger every day.
Answer: ",4,4,True,"{'1': 0.00801806525349704, '2': 0.053428464776570046, '3': 0.0879315658118271, '4': 0.8257377985088487, '5': 0.024884105649257242}",0.0879315658118271,4,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,3,"Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?","[4, 2, 1, 3, 5]","['IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral']",2,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?
Options:
1) Bob is allergic to nuts.
2) They buy stocks hoping for future profit.  
3) The investors enjoy picking nuts as much as squirrels do.
4) The investors dress and eat well.
5) Squirrels were hired to work in the company. 
Answer: ",4,3,True,"{'1': 0.005852996839878559, '2': 0.32502513257676824, '3': 0.665473697233698, '4': 0.0023504179001840046, '5': 0.0012977554494711806}",0.32502513257676824,3,False,IncorrectPlausibleLiteral,tk-instruct-3b-def-pos
MPV,4,"Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?","[2, 3, 5, 4, 1]","['CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral']",1,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?
Options:
1) His girlfriend's behavior was not very natural.
2) The girl made a good impression on Mark's mom
3) His girlfriend is made of polyester.
4) His girlfriend has a beautiful smile. 
5) His girlfriend wore clothes made of polyester.
Answer: ",4,3,True,"{'1': 0.004900105252330994, '2': 0.00955005027465112, '3': 0.9576335203359021, '4': 0.010076710184244015, '5': 0.017839613952871706}",0.004900105252330994,3,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,5,"Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? ","[4, 3, 1, 5, 2]","['IncorrectNonSequitur', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'CorrectNonLiteral']",5,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 
Options:
1) Their kids argue too much.
2) Their kids need to stick to a diet.
3) Their kids eat too many candies.
4) Their kids are sweet candy.
5) Their kids always stick together.
Answer: ",4,4,True,"{'1': 0.008871244839034951, '2': 0.026256019469768507, '3': 0.0605254318306579, '4': 0.8549894675813352, '5': 0.049357836279203524}",0.049357836279203524,4,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,6,"Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?","[3, 1, 5, 4, 2]","['IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral']",5,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?
Options:
1) The lady's jewelry broke into many pieces.
2) The lady wears some jewelry designed to look like stars.
3) The lady wears bursting stars.
4) Mark did not like the lady's jewelry.
5) The lady's jewelry is shining very brightly.
Answer: ",4,3,True,"{'1': 0.0005584727988744264, '2': 0.0025478989678496297, '3': 0.9868688749522966, '4': 0.0016368727596136757, '5': 0.008387880521365762}",0.008387880521365762,3,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,7,"Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? ","[2, 4, 1, 5, 3]","['CorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral']",1,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 
Options:
1) The model stood out at the fashion show.
2) The model came to the show with her pet bird.
3) The model wore a costume made of blue feathers.
4) The blue canary worked as a model at the show.
5) The model's skin turned blue.
Answer: ",4,3,True,"{'1': 0.06877159674470829, '2': 0.06534008392532044, '3': 0.46990627548428027, '4': 0.3774629292210513, '5': 0.01851911462463976}",0.06877159674470829,3,False,IncorrectPlausibleLiteral,tk-instruct-3b-def-pos
MPV,8,"Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?","[2, 5, 4, 1, 3]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral']",1,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Options:
1) The queen cares about you from afar.
2) The queen is an aunt of everyone living in the country.
3) The queen has a lot of relatives. 
4) Mary and her family are related to the queen.
5) People of the country love the pies that the queen bakes.
Answer: ",4,2,True,"{'1': 0.0036566861879030912, '2': 0.9835378226462983, '3': 0.0096879143592413, '4': 0.0018093434959242296, '5': 0.0013082333106329764}",0.0036566861879030912,2,False,IncorrectLiteral,tk-instruct-3b-def-pos
MPV,9,"Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?","[4, 3, 1, 5, 2]","['IncorrectNonSequitur', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'CorrectNonLiteral']",5,"['IncorrectPlausibleLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Options:
1) Abby wants to attend a concert with Kyle.
2) It was too dark to see any singers performing on the promenade.
3) There were a lot of musicians and singers performing on the promenade.
4) He could hear the sun singing songs.
5) It was a very romantic night.
Answer: ",4,5,True,"{'1': 0.0014004933289980075, '2': 0.002750851702779318, '3': 0.004897999182542264, '4': 0.06028866547900767, '5': 0.9306619903066727}",0.9306619903066727,5,True,CorrectNonLiteral,tk-instruct-3b-def-pos
MPV,10,"Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?","[4, 2, 3, 5, 1]","['IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Options:
1) Jessica's talk was a disaster. 
2) Jessica finished her talk successfully.
3) Jessica got interested in sailing.
4) Jessica was giving a talk about sailing.  
5) Jessica finished the sailing race.
Answer: ",4,4,True,"{'1': 0.02356085275510341, '2': 0.22056358011358068, '3': 0.05331734707679578, '4': 0.3788262458916966, '5': 0.3237319741628236}",0.22056358011358068,4,False,IncorrectNonSequitur,tk-instruct-3b-def-pos
MPV,11,"Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?","[1, 2, 5, 3, 4]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer to each question. The answer options are 1, 2, 3, 4, or 5.

Scenario: Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Options:
1) She is not paying attention when walking and often steps on her little brothers by accident.
2) She can make her brothers do whatever she wishes.
3) She enjoys long walks with her brothers.
4) Their daughter finally started to walk.
5) Their daughter should be less aggressive towards her brothers.
Answer: ",4,1,True,"{'1': 0.9641940529922334, '2': 0.028355430819147945, '3': 0.003795518548048803, '4': 0.000778823237537882, '5': 0.0028761744030319216}",0.028355430819147945,1,False,IncorrectLiteral,tk-instruct-3b-def-pos
