phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_violated_maxims,randomized_true_answer,original_labels_complex,original_violated_maxims,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
MV,1,"Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week."" Why has Bob responded like this?","[2, 4, 3, 1]","['IncorrectNonLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",3,"['IncorrectLiteral', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week."" Why has Bob responded like this?
Options:
1) He liked the talk that his boss gave but does not want to tell him about it.
2) He wants to avoid going to Japan next week and wants to discuss it with his boss. 
3) He disliked the talk that his boss gave but does not want to criticize his boss.  
4) He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Answer: ",1,4,True,"{'1': 0.00042418749733616327, '2': 0.0007836357164389793, '3': 0.0021823581133026686, '4': 0.9966098186729222}",0.0021823581133026686,4,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,2,"Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds, ""Have you noticed that I painted the walls?"" Why has Alex responded like this?","[4, 3, 2, 1]","['IncorrectAssociate', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds, ""Have you noticed that I painted the walls?"" Why has Alex responded like this?
Options:
1) Alex is afraid that Richard will become a better painter than he is. 
2) Alex wants Richards to help him paint the walls.
3) Alex thinks that Richard's painting is mediocre.
4) Alex is proud of the painting job that he did.
Answer: ",1,3,True,"{'1': 0.006361807090427731, '2': 0.014586283564342498, '3': 0.8502329230436021, '4': 0.1288189863016276}",0.8502329230436021,3,True,CorrectNonLiteral,tk-instruct-3b-def-pos
MV,3,"Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, ""The latte is unbelievable here."" Why has Jane responded like this?","[1, 4, 2, 3]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, ""The latte is unbelievable here."" Why has Jane responded like this?
Options:
1) She thinks that it is the best latte in the town.
2) A coffee break is not a good time to discuss men.
3) She does not want to discuss the topic that Leslie has raised.
4) The man who Leslie saw makes unbelievable lattes.
Answer: ",1,1,True,"{'1': 0.4897647774080767, '2': 0.23494420273567074, '3': 0.13628659188709247, '4': 0.13900442796916013}",0.13628659188709247,1,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,4,"Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies: ""Beer and chips would be awesome. Thanks!"" Why has Kelsey's husband responded like this?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies: ""Beer and chips would be awesome. Thanks!"" Why has Kelsey's husband responded like this?
Options:
1) He pretends that he did not understand his wife's comment because he wants to watch the game.
2) He is happy to turn off the TV right away and to spend more time with his wife.
3) He is thankful for her offer of beer and chips.
4) He is excited about seeing his wife. 
Answer: ",1,1,True,"{'1': 0.7414705175384186, '2': 0.18065893239494854, '3': 0.06777721493594982, '4': 0.010093335130683145}",0.7414705175384186,1,True,CorrectNonLiteral,tk-instruct-3b-def-pos
MV,5,"Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says: ""She has excellent handwriting and is always dressed so nicely."" Why has Mark responded like this?","[2, 1, 4, 3]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim', 'RelevanceMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says: ""She has excellent handwriting and is always dressed so nicely."" Why has Mark responded like this?
Options:
1) Mark's opinion of Jane as a financial manager is very low.
2) Mark's opinion of Jane as a financial manager is very high.
3) Mark needs to get some new clothes.
4) Mark is fond of people who have good handwriting.
Answer: ",1,2,True,"{'1': 0.009067433381737645, '2': 0.8512986200308585, '3': 0.007326830604107614, '4': 0.13230711598329625}",0.009067433381737645,2,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,6,"Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds: ""Somewhere in France."" Why has Lucy's mom responded like this?","[4, 3, 1, 2]","['IncorrectAssociate', 'IncorrectNonLiteral', 'IncorrectLiteral', 'CorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds: ""Somewhere in France."" Why has Lucy's mom responded like this?
Options:
1) Lucy's mom is afraid that Lucy will go to France.
2) Lucy's mom is jealous that she is not going to Paris.
3) Lucy's mom knows that Vincent lives somewhere in France.
4) Lucy's mom does not know where exactly Vincent lives.
Answer: ",1,3,True,"{'1': 0.00023981577462637714, '2': 0.0006130567421433471, '3': 0.9948431770827907, '4': 0.0043039504004396}",0.0043039504004396,3,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,7,"Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds: ""Some food."" Why has Melanie responded like this?","[4, 3, 1, 2]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",2,"['IncorrectAssociate', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds: ""Some food."" Why has Melanie responded like this?
Options:
1) There was not a lot of food at the wedding.
2) The food at the wedding was mediocre.
3) The wedding is not about food.
4) The food at the wedding was outstanding.
Answer: ",1,1,True,"{'1': 0.444633503631229, '2': 0.3823768861515278, '3': 0.16279015141482744, '4': 0.0101994588024157}",0.3823768861515278,1,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,8,"Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ""In a cup."" Why has Mary responded like this?","[2, 4, 1, 3]","['CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ""In a cup."" Why has Mary responded like this?
Options:
1) Mary is irritated with Ken.
2) Mary wants Ken to wash a cup that she sees in the sink.  
3) Mary wants Ken to serve her tea in a cup.
4) Mary is proud of the new cups that she got from Ken for her birthday.
Answer: ",1,3,True,"{'1': 0.0005929141137929659, '2': 0.0018407218375394157, '3': 0.9946299523569162, '4': 0.002936411691751406}",0.0005929141137929659,3,False,IncorrectLiteral,tk-instruct-3b-def-pos
MV,9,"George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds: ""A pair of shoes."" Why has Cindy responded like this?","[2, 3, 4, 1]","['CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate', 'IncorrectLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectAssociate']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds: ""A pair of shoes."" Why has Cindy responded like this?
Options:
1) Cindy does not know what type of shoes she wants to buy.
2) Cindy has an obsession with shoes and buys them on every occasion. 
3) Cindy is excited about going shopping.
4) Cindy does not plan to buy anything but shoes in this store.
Answer: ",1,1,True,"{'1': 0.501283891375347, '2': 0.34076299816488587, '3': 0.12941492627587867, '4': 0.02853818418388845}",0.501283891375347,1,True,CorrectNonLiteral,tk-instruct-3b-def-pos
MV,10,"Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds: ""some schoolwork."" Why has Mike responded like this?","[3, 2, 4, 1]","['IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonLiteral']","['QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim', 'QuantityMaxim']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds: ""some schoolwork."" Why has Mike responded like this?
Options:
1) He is too excited to talk about this at the moment.
2) He does not want to talk about school with his mom.
3) He is upset that his dad is not at home.
4) He has been doing lots of schoolwork at school.
Answer: ",1,4,True,"{'1': 0.024048954716791773, '2': 0.10366044290496301, '3': 0.054637849203291296, '4': 0.8176527531749539}",0.10366044290496301,4,False,IncorrectLiteral,tk-instruct-3b-def-pos
