phenomenon,item_id,content,randomized_option_order,randomized_labels_complex,randomized_true_answer,original_labels_complex,is_example,prompt,seed,generation,generation_isvalid,distribution,prob_true_answer,answer,correct,answer_label_complex,model
IV,1,"Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?","[4, 1, 2, 3]","['IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?
Options:
1) Simon has to get back to work.
2) The dress is fitting well.
3) Lara needs to get a dress of a shorter length.
4) Simon does not like the color of this dress.
Answer: ",3,2,True,"{'1': 0.00018276859060547355, '2': 0.9978446176507849, '3': 0.001966391115084748, '4': 6.222643524711459e-06}",0.001966391115084748,2,False,IncorrectLiteral,text-davinci-002
IV,2,"Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","[2, 3, 1, 4]","['CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectLiteral', 'IncorrectNonSequitur']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
Options:
1) Shane was not paying attention when Christian was talking.
2) Shane's hearing improved greatly.
3) Shane was paying attention when Christian was talking.
4) Shane needs to see an eye doctor.
Answer: ",3,3,True,"{'1': 0.000151330691915823, '2': 0.0006299147261584542, '3': 0.9991976590037177, '4': 2.1095578208033238e-05}",0.000151330691915823,3,False,IncorrectLiteral,text-davinci-002
IV,3,"Andrew says, ""You are so good at this."" What did Andrew want to convey?","[1, 3, 2, 4]","['IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral', 'IncorrectNonSequitur']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Andrew says, ""You are so good at this."" What did Andrew want to convey?
Options:
1) Phil is a great basketball player.
2) Phil's blocking is impressive.
3) Phil's basketball skills could be better.
4) Phil is a great student.
Answer: ",3,1,True,"{'1': 0.7441658595131444, '2': 0.25539717678383633, '3': 0.00040412319452617294, '4': 3.284050849321191e-05}",0.00040412319452617294,1,False,IncorrectLiteral,text-davinci-002
IV,4,"Jon says, ""You are so graceful."" What did Jon want to convey?","[4, 3, 1, 2]","['IncorrectNonSequitur', 'IncorrectAssociate', 'IncorrectLiteral', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jon says, ""You are so graceful."" What did Jon want to convey?
Options:
1) Patrick pays a lot of attention to fashion.
2) Patrick is allergic to noodles.
3) Patrick is very cautious.
4) Patrick is careless.
Answer: ",3,1,True,"{'1': 0.9020198780031226, '2': 0.046748584047278906, '3': 0.03465440574626063, '4': 0.016577132203337865}",0.016577132203337865,1,False,IncorrectNonSequitur,text-davinci-002
IV,5,"She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?","[1, 4, 3, 2]","['IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectAssociate', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?
Options:
1) Tom's idea to go to the beach was genius. 
2) Tom forgot his passport.
3) Tom forgot his sunscreen.
4) Tom's idea to go to the beach was awful.
Answer: ",3,1,True,"{'1': 0.7083866431902852, '2': 0.0015141237379442298, '3': 0.000424153135990642, '4': 0.28967507993578}",0.28967507993578,1,False,IncorrectLiteral,text-davinci-002
IV,6,"Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?","[4, 1, 2, 3]","['IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate']",3,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?
Options:
1) He remembers about his wife's birthday.
2) He enjoys listening to his kids fighting.
3) He does not want to listen to his kids' arguments.
4) AC gives them some needed cool.
Answer: ",3,3,True,"{'1': 0.05643147364976063, '2': 0.20144227144926202, '3': 0.6449095705642452, '4': 0.09721668433673199}",0.6449095705642452,3,True,CorrectNonLiteral,text-davinci-002
IV,7,"Jane says, ""What a wonderful game."" What did Jane want to convey?","[1, 2, 3, 4]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",2,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane says, ""What a wonderful game."" What did Jane want to convey?
Options:
1) The game was outstanding.
2) The game was a disaster.
3) The game ended too late.
4) The game of chess was over.    
Answer: ",3,1,True,"{'1': 0.9995526814073323, '2': 0.00012825042389823346, '3': 6.722544282193627e-05, '4': 0.000251842725947474}",0.00012825042389823346,1,False,IncorrectLiteral,text-davinci-002
IV,8,"His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?","[4, 1, 3, 2]","['IncorrectNonSequitur', 'IncorrectLiteral', 'IncorrectAssociate', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?
Options:
1) Mark forgot to thank his dentist.  
2) Mark is an exceptional player.
3) Mark forgot to thank his caddy.
4) Mark isn't a good player.
Answer: ",3,2,True,"{'1': 5.267203257782062e-05, '2': 0.9997699420611074, '3': 0.00017617302761650542, '4': 1.2128786982976204e-06}",1.2128786982976204e-06,2,False,IncorrectLiteral,text-davinci-002
IV,9,"He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?","[3, 1, 4, 2]","['IncorrectAssociate', 'IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral']",4,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?
Options:
1) Tom cannot find a vacuum.
2) Tom tidied up his room.
3) Tom cannot find a lawyer. 
4) Tom's room is still messy.
Answer: ",3,2,True,"{'1': 0.00014717439622140667, '2': 0.9991904723326064, '3': 0.0006500587558711937, '4': 1.2294515301116713e-05}",1.2294515301116713e-05,2,False,IncorrectLiteral,text-davinci-002
IV,10,"Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?","[2, 1, 3, 4]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",1,"['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectAssociate', 'IncorrectNonSequitur']",False,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?
Options:
1) He is annoyed that Callie showed up late.
2) He is happy that Callie made it to the party.
3) He is hungry and wants to eat Callie's salad.
4) He is tired and is going to bed.
Answer: ",3,2,True,"{'1': 3.319892432170211e-05, '2': 0.9999391693348076, '3': 2.5130342370771363e-05, '4': 2.5013984999512744e-06}",3.319892432170211e-05,2,False,IncorrectLiteral,text-davinci-002
